Nc,mdotc,eta,pi
0.10526316,0.15789473,0.0054104924,0.14628413
0.10526316,0.21052632,0.31566972,1.2929564
0.10526316,0.2631579,0.28930405,1.0221858
0.10526316,0.31578946,0.25893104,0.9873528
0.10526316,0.36842105,0.29175487,1.2174451
0.10526316,0.42105263,0.12118239,1.1150086
0.10526316,0.47368422,0.33163616,1.1389458
0.10526316,0.5263158,0.4551922,1.0914502
0.10526316,0.57894737,0.30690804,1.0096152
0.10526316,0.6315789,0.28556943,0.94783735
0.10526316,0.68421054,0.30150238,1.0754972
0.10526316,0.7368421,0.29432356,1.0038693
0.10526316,0.7894737,0.34410203,0.98864865
0.10526316,0.84210527,0.31250608,0.8789115
0.10526316,0.8947368,0.20043719,1.0765752
0.10526316,0.94736844,0.26865044,1.054022
0.10526316,1.0,0.31592715,0.9808315
0.15789473,0.0,-0.037200063,0.024171825
0.15789473,0.05263158,0.03391052,0.061775707
0.15789473,0.10526316,0.012694433,0.10649103
0.15789473,0.15789473,-0.08926639,-0.4708985
0.15789473,0.21052632,0.30461115,0.88779086
0.15789473,0.2631579,0.19588175,1.1158012
0.15789473,0.31578946,0.35957703,1.1481415
0.15789473,0.36842105,0.23963134,1.1317308
0.15789473,0.42105263,0.23017095,1.0556517
0.15789473,0.47368422,0.26500538,1.1651967
0.15789473,0.5263158,0.42536208,0.99957514
0.15789473,0.57894737,0.29353648,1.0162463
0.15789473,0.6315789,0.32433063,1.0276355
0.15789473,0.68421054,0.17873773,1.0068924
0.15789473,0.7368421,0.223723,1.1475604
0.15789473,0.7894737,0.18183504,0.9518039
0.15789473,0.84210527,0.24950095,1.1302527
0.15789473,0.8947368,0.3486503,0.98063767
0.15789473,0.94736844,0.38031098,0.9164313
0.15789473,1.0,0.37843838,0.9647372
0.21052632,0.0,-0.0865199,-0.13538842
0.21052632,0.05263158,0.025755554,0.09852255
0.21052632,0.10526316,0.11193608,-0.008651961
0.21052632,0.15789473,-0.078690186,7.588044e-05
0.21052632,0.21052632,0.073042,0.20058754
0.21052632,0.2631579,0.30648318,0.9181787
0.21052632,0.31578946,0.32245496,1.3153337
0.21052632,0.36842105,0.24692097,1.152856
0.21052632,0.42105263,0.27953285,1.1920879
0.21052632,0.47368422,0.22442238,1.0498748
0.21052632,0.5263158,0.39191848,1.139921
0.21052632,0.57894737,0.30191675,1.0001955
0.21052632,0.6315789,0.26801312,1.1355786
0.21052632,0.68421054,0.4008501,0.8767309
0.21052632,0.7368421,0.29162955,1.1210933
0.21052632,0.7894737,0.41761976,1.1230946
0.21052632,0.84210527,0.27944306,1.2283974
0.21052632,0.8947368,0.37049532,1.1257094
0.21052632,0.94736844,0.36452234,0.98582625
0.21052632,1.0,0.36461183,0.945152
0.2631579,0.0,0.14734158,-0.012806434
0.2631579,0.05263158,-0.05350938,-0.11498985
0.2631579,0.10526316,-0.082081124,-0.06110762
0.2631579,0.15789473,0.035734653,0.016140752
0.2631579,0.21052632,-0.047267698,0.026405007
0.2631579,0.2631579,0.26664025,0.9548296
0.2631579,0.31578946,0.30758375,1.2226238
0.2631579,0.36842105,0.4117671,1.1854348
0.2631579,0.42105263,0.3522958,1.2235236
0.2631579,0.47368422,0.33014712,1.1850303
0.2631579,0.5263158,0.2049409,1.1272166
0.2631579,0.57894737,0.25390697,1.0514935
0.2631579,0.6315789,0.3544367,1.011533
0.2631579,0.68421054,0.28927618,0.99887496
0.2631579,0.7368421,0.39381737,1.0313897
0.2631579,0.7894737,0.2602109,1.1415484
0.2631579,0.84210527,0.24661505,1.1871681
0.2631579,0.8947368,0.3828644,1.1571058
0.2631579,0.94736844,0.35188255,1.1106052
0.2631579,1.0,0.2307395,0.9871278
0.31578946,0.0,-0.11608109,0.016447037
0.31578946,0.05263158,-0.04748396,0.03596638
0.31578946,0.10526316,0.069011465,-0.021701686
0.31578946,0.15789473,0.07085304,-0.0125265345
0.31578946,0.21052632,0.039895125,0.07375485
0.31578946,0.2631579,0.060631108,0.118078575
0.31578946,0.31578946,0.33642137,0.757398
0.31578946,0.36842105,0.36920267,1.3934453
0.31578946,0.42105263,0.4261071,1.2686167
0.31578946,0.47368422,0.3750968,1.2914197
0.31578946,0.5263158,0.27653602,1.2681999
0.31578946,0.57894737,0.32796663,1.0559667
0.31578946,0.6315789,0.3543043,1.1491916
0.31578946,0.68421054,0.13587676,1.2040424
0.31578946,0.7368421,0.26462013,1.0885555
0.31578946,0.7894737,0.2685132,1.0555944
0.31578946,0.84210527,0.3298511,1.1674933
0.31578946,0.8947368,0.37874442,1.0120685
0.31578946,0.94736844,0.3680971,1.2085459
0.31578946,1.0,0.40313822,1.1332179
0.36842105,0.0,0.060667783,-0.053847045
0.36842105,0.05263158,-0.120688215,-0.06592618
0.36842105,0.10526316,-0.04818783,0.04117035
0.36842105,0.15789473,0.030157048,-0.008286849
0.36842105,0.21052632,0.036760934,0.11611508
0.36842105,0.2631579,0.003726378,0.025492951
0.36842105,0.31578946,0.088885926,0.38916862
0.36842105,0.36842105,0.35254166,1.4584785
0.36842105,0.42105263,0.4466561,1.3861587
0.36842105,0.47368422,0.3858469,1.2606661
0.36842105,0.5263158,0.267045,1.2527773
0.36842105,0.57894737,0.28167796,1.023698
0.36842105,0.6315789,0.22490066,0.850941
0.36842105,0.68421054,0.21930298,1.0793765
0.36842105,0.7368421,0.06683845,1.0198162
0.36842105,0.7894737,0.16371052,1.2220991
0.36842105,0.84210527,0.407799,1.1914481
0.36842105,0.8947368,0.2853375,1.178072
0.36842105,0.94736844,0.36254993,1.1894777
0.36842105,1.0,0.2214731,1.1550905
0.42105263,0.0,0.059573006,-0.01727876
0.42105263,0.05263158,-0.05581984,-0.08498452
0.42105263,0.10526316,0.021395504,-0.03779734
0.42105263,0.15789473,0.018808551,-0.002157461
0.42105263,0.21052632,0.014413871,-0.022137135
0.42105263,0.2631579,-0.048082896,0.075388074
0.42105263,0.31578946,0.013070248,-0.43018296
0.42105263,0.36842105,0.23250723,1.2651438
0.42105263,0.42105263,0.3426689,1.564707
0.42105263,0.47368422,0.3633965,1.5159396
0.42105263,0.5263158,0.38240188,1.2092386
0.42105263,0.57894737,0.3152978,1.2030071
0.42105263,0.6315789,0.11622864,0.89072156
0.42105263,0.68421054,0.3422225,0.93907785
0.42105263,0.7368421,0.28043947,1.0776627
0.42105263,0.7894737,0.36411732,1.1979271
0.42105263,0.84210527,0.27368063,1.2197535
0.42105263,0.8947368,0.34669214,1.2787111
0.42105263,0.94736844,0.39294472,1.0430474
0.42105263,1.0,0.3414995,1.1573586
0.47368422,0.0,-0.013358872,-0.08656625
0.47368422,0.05263158,0.01988414,-0.018477604
0.47368422,0.10526316,-0.056574807,0.021264657
0.47368422,0.15789473,0.04366043,0.008397251
0.47368422,0.21052632,-0.056950152,-0.20285839
0.47368422,0.2631579,-0.12890644,-0.02262564
0.47368422,0.31578946,0.09782937,-0.027576476
0.47368422,0.36842105,0.09386937,0.21853077
0.47368422,0.42105263,0.6566595,2.099326
0.47368422,0.47368422,0.5099071,1.6550555
0.47368422,0.5263158,0.42159253,1.3713021
0.47368422,0.57894737,0.26871288,0.9876227
0.47368422,0.6315789,0.15500344,0.9406587
0.47368422,0.68421054,0.1596573,0.84592414
0.47368422,0.7368421,0.25513417,0.86948884
0.47368422,0.7894737,0.3299594,1.0433736
0.47368422,0.84210527,0.23366457,1.1178719
0.47368422,0.8947368,0.2726498,1.1864933
0.47368422,0.94736844,0.19117013,1.2602801
0.47368422,1.0,0.41677162,1.1999682
0.5263158,0.0,-0.07809079,-0.01696004
0.5263158,0.05263158,0.033680763,0.078774035
0.5263158,0.10526316,0.0140086375,0.06970867
0.5263158,0.15789473,-0.008202694,0.06859049
0.5263158,0.21052632,0.17133163,-0.031514928
0.5263158,0.2631579,-0.053437196,0.09240465
0.5263158,0.31578946,0.03211798,0.027932987
0.5263158,0.36842105,-0.09235282,-0.7914339
0.5263158,0.42105263,0.45086884,1.7218866
0.5263158,0.47368422,0.3358739,1.7854254
0.5263158,0.5263158,0.40297568,1.4943777
0.5263158,0.57894737,0.16366346,1.0948452
0.5263158,0.6315789,0.009252951,0.8435324
0.5263158,0.68421054,0.20246834,0.73701245
0.5263158,0.7368421,0.20680018,0.8680068
0.5263158,0.7894737,0.36054286,1.0513288
0.5263158,0.84210527,0.26776665,1.231235
0.5263158,0.8947368,0.37126863,1.2660184
0.5263158,0.94736844,0.23541963,1.1344529
0.5263158,1.0,0.2830976,1.2652798
0.57894737,0.0,0.058757357,0.05512832
0.57894737,0.05263158,0.00501965,-0.08651739
0.57894737,0.10526316,-0.125128,0.10683825
0.57894737,0.15789473,-0.06600808,-0.11672124
0.57894737,0.21052632,-0.0071676224,0.111196235
0.57894737,0.2631579,0.10581842,0.2125246
0.57894737,0.31578946,0.036469616,-0.058262482
0.57894737,0.36842105,0.037726402,0.0041735023
0.57894737,0.42105263,0.25894082,-0.021939307
0.57894737,0.47368422,0.78592145,2.2675188
0.57894737,0.5263158,0.43826824,1.6102304
0.57894737,0.57894737,0.313834,1.0369608
0.57894737,0.6315789,0.17601712,0.77536035
0.57894737,0.68421054,-0.03417489,0.58557075
0.57894737,0.7368421,0.123206414,0.8304523
0.57894737,0.7894737,0.2545552,1.060324
0.57894737,0.84210527,0.23286414,1.0706234
0.57894737,0.8947368,0.39952084,1.1476789
0.57894737,0.94736844,0.2067008,1.2356254
0.57894737,1.0,0.27750903,1.301143
0.6315789,0.0,0.045294344,-0.054914407
0.6315789,0.05263158,0.010011718,0.120851666
0.6315789,0.10526316,-0.025675327,-0.01052516
0.6315789,0.15789473,-0.039933305,-0.019297652
0.6315789,0.21052632,0.13540795,0.013515152
0.6315789,0.2631579,0.07511448,0.0033875331
0.6315789,0.31578946,-0.033081666,-0.09761847
0.6315789,0.36842105,0.03431265,0.034610968
0.6315789,0.42105263,-0.15422401,-0.71817017
0.6315789,0.47368422,0.65715265,1.4630895
0.6315789,0.5263158,0.6890328,1.666615
0.6315789,0.57894737,0.28391454,0.9158101
0.6315789,0.6315789,0.04018077,0.73871803
0.6315789,0.68421054,0.009223908,0.68938965
0.6315789,0.7368421,0.12308234,0.75962436
0.6315789,0.7894737,0.22293025,0.97632015
0.6315789,0.84210527,0.37437594,1.0536821
0.6315789,0.8947368,0.22396484,1.2039083
0.6315789,0.94736844,0.2649573,1.2193558
0.6315789,1.0,0.26769534,1.2495766
0.68421054,0.0,-0.035259202,-0.016871676
0.68421054,0.05263158,0.047969844,0.04548616
0.68421054,0.10526316,0.11718469,0.029356912
0.68421054,0.15789473,-0.08890376,-0.009718727
0.68421054,0.21052632,0.12403722,-0.026447922
0.68421054,0.2631579,0.0017798021,-0.016944159
0.68421054,0.31578946,-0.092619315,-0.12999308
0.68421054,0.36842105,0.022330115,-0.04580733
0.68421054,0.42105263,0.0047365837,0.005709149
0.68421054,0.47368422,0.26564378,0.62919915
0.68421054,0.5263158,0.4918512,1.7763162
0.68421054,0.57894737,0.18027072,1.1715413
0.68421054,0.6315789,0.015141636,0.7253009
0.68421054,0.68421054,0.006969616,0.577348
0.68421054,0.7368421,-0.040964045,0.644073
0.68421054,0.7894737,0.11888298,0.94573903
0.68421054,0.84210527,0.25465465,1.1833522
0.68421054,0.8947368,0.2431951,1.1825961
0.68421054,0.94736844,0.35165262,1.2641038
0.68421054,1.0,0.3803588,1.0426499
0.7368421,0.0,0.035547994,-0.015922844
0.7368421,0.05263158,0.1230856,-0.07788539
0.7368421,0.10526316,-0.1601385,0.072488196
0.7368421,0.15789473,0.10116968,-0.13457054
0.7368421,0.21052632,-0.042729825,-0.062417537
0.7368421,0.2631579,0.037557557,-0.04937121
0.7368421,0.31578946,0.013821337,0.020737082
0.7368421,0.36842105,-0.072196394,0.0438648
0.7368421,0.42105263,-0.18943502,0.080581285
0.7368421,0.47368422,-0.06616126,-0.08380026
0.7368421,0.5263158,0.59066343,1.3509716
0.7368421,0.57894737,0.18972576,1.1052778
0.7368421,0.6315789,-0.025696427,0.6872163
0.7368421,0.68421054,0.0004534535,0.6481268
0.7368421,0.7368421,0.043998227,0.55521965
0.7368421,0.7894737,0.014570519,0.8827593
0.7368421,0.84210527,0.2193916,1.0434972
0.7368421,0.8947368,0.2773933,1.0307541
0.7368421,0.94736844,0.14971907,1.1023611
0.7368421,1.0,0.38405138,1.0541332
0.7894737,0.0,-0.03207011,0.11528054
0.7894737,0.05263158,0.007829964,0.009192642
0.7894737,0.10526316,0.015794989,-0.0630265
0.7894737,0.15789473,-0.077072516,0.043552138
0.7894737,0.21052632,-0.004872605,-0.012685422
0.7894737,0.2631579,0.0019057989,0.07314138
0.7894737,0.31578946,0.01531041,-0.010122113
0.7894737,0.36842105,-0.05420357,0.05462348
0.7894737,0.42105263,0.03647297,-0.08600657
0.7894737,0.47368422,0.007029675,0.08328792
0.7894737,0.5263158,0.013813734,-0.1222489
0.7894737,0.57894737,0.089197695,0.6472791
0.7894737,0.6315789,0.0091985315,0.80532354
0.7894737,0.68421054,-0.024170704,0.6377301
0.7894737,0.7368421,-0.12795761,0.72350585
0.7894737,0.7894737,0.064083464,0.76977205
0.7894737,0.84210527,0.19700962,1.0650647
0.7894737,0.8947368,0.22200358,1.1887062
0.7894737,0.94736844,0.2793875,1.2852819
0.7894737,1.0,0.28897223,1.2708721
0.84210527,0.0,0.12811458,0.051434338
0.84210527,0.05263158,-0.11391598,-0.00999283
0.84210527,0.10526316,0.0011511594,-0.0053970665
0.84210527,0.15789473,0.02727513,-0.049828626
0.84210527,0.21052632,0.03743589,0.09260975
0.84210527,0.2631579,-0.033521466,-0.05191224
0.84210527,0.31578946,-0.10385285,0.086183615
0.84210527,0.36842105,-0.0024103373,0.0010518581
0.84210527,0.42105263,-0.014114253,-0.04171775
0.84210527,0.47368422,0.0014952421,-0.025180891
0.84210527,0.5263158,-0.06098762,0.009870868
0.84210527,0.57894737,-0.06049318,0.21143076
0.84210527,0.6315789,-0.07748921,0.8508251
0.84210527,0.68421054,0.06411931,0.5980097
0.84210527,0.7368421,0.023516268,0.6911585
0.84210527,0.7894737,0.0909387,0.9216062
0.84210527,0.84210527,0.44379467,0.9645184
0.84210527,0.8947368,0.3661217,1.1126957
0.84210527,0.94736844,0.2722436,1.1351578
0.84210527,1.0,0.45588362,1.2091635
0.8947368,0.0,0.04047573,0.01461865
0.8947368,0.05263158,-0.00419195,-0.015864424
0.8947368,0.10526316,0.005526649,0.06725718
0.8947368,0.15789473,-0.079511985,-0.065142
0.8947368,0.21052632,-0.035045967,-0.09791131
0.8947368,0.2631579,-0.055333108,0.03884537
0.8947368,0.31578946,-0.0050812345,-0.09724971
0.8947368,0.36842105,0.009775445,-0.0013224632
0.8947368,0.42105263,-0.09444481,0.07708024
0.8947368,0.47368422,-0.005239904,0.005830612
0.8947368,0.5263158,0.0025533047,0.0071832463
0.8947368,0.57894737,0.008900382,0.2245568
0.8947368,0.6315789,0.12378456,0.65058017
0.8947368,0.68421054,0.04448052,0.6992363
0.8947368,0.7368421,0.16612488,0.68727076
0.8947368,0.7894737,0.17359558,0.91480005
0.8947368,0.84210527,0.014659286,1.0053067
0.8947368,0.8947368,0.2615244,1.1178784
0.8947368,0.94736844,0.32062304,1.1622245
0.8947368,1.0,0.2594799,1.0353262
0.94736844,0.0,-0.01939464,-0.06464517
0.94736844,0.05263158,-0.057916783,0.10572469
0.94736844,0.10526316,0.00075405836,-0.06482884
0.94736844,0.15789473,0.06252494,0.033049684
0.94736844,0.21052632,-0.035868853,-0.10114754
0.94736844,0.2631579,0.011184097,0.026411466
0.94736844,0.31578946,0.0560119,0.013352271
0.94736844,0.36842105,-0.010282569,0.02291257
0.94736844,0.42105263,-0.050048057,-0.032577008
0.94736844,0.47368422,0.012792893,0.03136416
0.94736844,0.5263158,-0.048707403,-0.025754549
0.94736844,0.57894737,0.040706366,-0.06042727
0.94736844,0.6315789,-0.20339328,-0.37114662
0.94736844,0.68421054,0.12966515,0.8240292
0.94736844,0.7368421,0.0669793,0.93188703
0.94736844,0.7894737,0.07360317,0.8617307
0.94736844,0.84210527,0.14314194,1.0969495
0.94736844,0.8947368,0.34283185,1.080287
0.94736844,0.94736844,0.26234868,1.2570598
0.94736844,1.0,0.3030246,1.0462012
1.0,0.0,0.029488236,-0.009329777
1.0,0.05263158,0.0012417957,-0.016287304
1.0,0.10526316,-0.05884563,-0.10611064
1.0,0.15789473,0.022925764,0.0050917678
1.0,0.21052632,-0.104837686,-0.07257273
1.0,0.2631579,0.053645536,-0.045759827
1.0,0.31578946,0.07301855,-0.060418405
1.0,0.36842105,-0.06563375,-0.055585
1.0,0.42105263,0.09464874,-0.031084426
1.0,0.47368422,0.00049331784,-0.0015948415
1.0,0.5263158,-0.020899817,-0.053515084
1.0,0.57894737,-0.09100898,0.03071828
1.0,0.6315789,-0.2748908,-0.6907547
1.0,0.68421054,0.08229014,0.7248209
1.0,0.7368421,0.18525966,0.90167475
1.0,0.7894737,0.13577795,0.9416432
1.0,0.84210527,0.24662845,1.0395334
1.0,0.8947368,0.18494454,1.1869309
1.0,0.94736844,0.22497271,1.0829694
1.0,1.0,0.23943734,1.2268746
